id,player_id,player_name,team,season,split_type,split_category,games,completions,attempts,completion_pct,pass_yards,pass_tds,interceptions,rating,sacks,sack_yards,net_yards_per_attempt,scraped_at,updated_at,rush_attempts,rush_yards,rush_tds,fumbles,fumbles_lost,fumbles_forced,fumbles_recovered,fumble_recovery_yards,fumble_recovery_tds,incompletions,wins,losses,ties,attempts_per_game,yards_per_game,rush_attempts_per_game,rush_yards_per_game,total_tds,points
27,joeburrow,Joe Burrow,CIN,2024,other,AFC East,1,21,29,72.41,164,0,0,86.00,3,10,5.66,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
28,joeburrow,Joe Burrow,CIN,2024,other,AFC North,6,167,234,71.37,1839,18,3,114.60,21,145,7.86,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
29,joeburrow,Joe Burrow,CIN,2024,other,AFC South,1,26,37,70.27,271,3,2,95.70,1,2,7.32,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
30,joeburrow,Joe Burrow,CIN,2024,other,AFC West,4,117,174,67.24,1277,13,1,111.20,14,62,7.34,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
31,joeburrow,Joe Burrow,CIN,2024,other,NFC East,4,107,147,72.79,1135,7,2,105.10,9,59,7.72,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
32,joeburrow,Joe Burrow,CIN,2024,other,NFC South,1,22,31,70.97,232,2,1,100.50,0,0,7.48,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
33,joeburrow,Joe Burrow,CIN,2024,other,Baltimore Ravens,2,64,95,67.37,820,9,1,121.40,6,28,8.63,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
34,joeburrow,Joe Burrow,CIN,2024,other,Carolina Panthers,1,22,31,70.97,232,2,1,100.50,0,0,7.48,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
35,joeburrow,Joe Burrow,CIN,2024,other,Cleveland Browns,2,38,55,69.09,433,5,0,122.80,7,59,7.87,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
36,joeburrow,Joe Burrow,CIN,2024,other,Dallas Cowboys,1,33,44,75.00,369,3,1,112.80,2,10,8.39,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
37,joeburrow,Joe Burrow,CIN,2024,other,Denver Broncos,1,39,49,79.59,412,3,0,122.10,7,28,8.41,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
38,joeburrow,Joe Burrow,CIN,2024,other,Kansas City Chiefs,1,23,36,63.89,258,2,0,103.70,3,12,7.17,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
39,joeburrow,Joe Burrow,CIN,2024,other,Las Vegas Raiders,1,27,39,69.23,251,5,1,115.50,1,8,6.44,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
40,joeburrow,Joe Burrow,CIN,2024,other,New England Patriots,1,21,29,72.41,164,0,0,86.00,3,10,5.66,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
41,joeburrow,Joe Burrow,CIN,2024,other,New York Giants,1,19,28,67.86,208,0,0,89.60,4,25,7.43,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
42,joeburrow,Joe Burrow,CIN,2024,other,Philadelphia Eagles,1,26,37,70.27,234,1,1,84.70,1,12,6.32,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
43,joeburrow,Joe Burrow,CIN,2024,other,Pittsburgh Steelers,2,65,84,77.38,586,4,2,101.60,8,58,6.98,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
44,joeburrow,Joe Burrow,CIN,2024,other,Los Angeles Chargers,1,28,50,56.00,356,3,0,98.40,3,14,7.12,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
45,joeburrow,Joe Burrow,CIN,2024,other,Tennessee Titans,1,26,37,70.27,271,3,2,95.70,1,2,7.32,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
46,joeburrow,Joe Burrow,CIN,2024,other,Washington Commanders,1,29,38,76.32,324,3,0,127.50,2,12,8.53,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
47,joeburrow,Joe Burrow,CIN,2024,other,dome,1,28,50,56.00,356,3,0,98.40,3,14,7.12,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
48,joeburrow,Joe Burrow,CIN,2024,other,outdoors,15,399,558,71.51,4193,37,8,109.10,43,254,7.51,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
49,joeburrow,Joe Burrow,CIN,2024,other,retroof,1,33,44,75.00,369,3,1,112.80,2,10,8.39,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
50,joeburrow,Joe Burrow,CIN,2024,other,Starter,17,460,652,70.55,4918,43,9,108.50,48,278,7.54,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
51,joeburrow,Joe Burrow,CIN,2024,other,1st,0,179,243,73.66,2089,12,3,110.60,12,-64,8.60,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
52,joeburrow,Joe Burrow,CIN,2024,other,2nd,0,173,244,70.90,1576,14,4,100.40,10,-52,6.50,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
53,joeburrow,Joe Burrow,CIN,2024,other,3rd,0,97,150,64.67,1126,13,2,110.60,24,-154,7.50,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
54,joeburrow,Joe Burrow,CIN,2024,other,4th,0,11,15,73.33,127,4,0,138.10,2,-8,8.50,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
55,joeburrow,Joe Burrow,CIN,2024,other,1-3,0,62,104,59.62,565,17,0,114.00,10,-80,5.40,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
56,joeburrow,Joe Burrow,CIN,2024,other,4-6,0,82,116,70.69,860,14,1,127.90,9,-43,7.40,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
57,joeburrow,Joe Burrow,CIN,2024,other,7-9,0,68,96,70.83,536,1,2,79.20,8,-53,5.60,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
58,joeburrow,Joe Burrow,CIN,2024,other,10+,0,248,336,73.81,2957,11,6,103.70,21,-102,8.80,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
59,joeburrow,Joe Burrow,CIN,2024,other,1st & 10,0,159,207,76.81,1956,8,2,114.30,11,-58,9.40,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
60,joeburrow,Joe Burrow,CIN,2024,other,1st & <10,0,9,22,40.91,35,4,0,88.30,1,-6,1.60,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
61,joeburrow,Joe Burrow,CIN,2024,other,1st & >10,0,11,14,78.57,98,0,1,66.10,0,0,7.00,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
62,joeburrow,Joe Burrow,CIN,2024,other,2nd & 1-3,0,24,32,75.00,234,5,0,134.60,1,-6,7.30,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
63,joeburrow,Joe Burrow,CIN,2024,other,2nd & 4-6,0,53,75,70.67,559,9,0,131.60,4,-14,7.50,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
